Date,Service Category,Marketing Channel,Season,Customer Type,Ad Spend,Conversions,Daily Revenue,Year,Month,Day,DayOfWeek,ROI,Profit,Conversion Rate
2024-05-02,Cupcake,In-store Promo,Spring,Returning,49.16,9,250.6,2024,5,2,3,4.0976403580146465,201.44,0.18307567127746135
2025-03-24,Cupcake,Local Magazine,Fall,Returning,75.65,5,166.63,2025,3,24,0,1.2026437541308657,90.97999999999999,0.06609385327164573
2025-02-19,Cake,Local Magazine,Summer,Returning,99.36,8,153.11,2025,2,19,2,0.540962157809984,53.750000000000014,0.08051529790660225
2025-01-21,Cookie,In-store Promo,Spring,New,185.67,4,60.52,2025,1,21,1,-0.6740453492755965,-125.14999999999998,0.021543598858189263
2025-01-09,Cookie,In-store Promo,Spring,Returning,198.45,9,390.95,2025,1,9,3,0.9700176366843034,192.5,0.045351473922902494
2025-02-22,Cake,Instagram,Summer,Returning,187.2,3,119.4,2025,2,22,5,-0.3621794871794871,-67.79999999999998,0.016025641025641028
2024-10-25,Cupcake,Local Magazine,Summer,New,60.99,6,258.46,2024,10,25,4,3.237743892441383,197.46999999999997,0.09837678307919331
2025-03-12,Cupcake,In-store Promo,Fall,New,110.0,7,224.84,2025,3,12,2,1.044,114.84,0.06363636363636363
2024-12-30,Cookie,Google Maps,Winter,New,120.27,6,270.49,2024,12,30,0,1.2490230315124307,150.22000000000003,0.04988775255674732
2024-08-28,Cupcake,Google Maps,Winter,New,16.17,3,121.3,2024,8,28,2,6.5015460729746435,105.13,0.18552875695732837
2024-09-21,Cake,In-store Promo,Spring,New,171.8,4,54.87,2024,9,21,5,-0.6806169965075669,-116.93,0.02328288707799767
2024-10-11,Bread,Google Maps,Summer,New,174.51,3,22.79,2024,10,11,4,-0.869405764712624,-151.72,0.017190991920233798
2025-03-10,Bread,Instagram,Fall,Returning,195.38,1,19.69,2025,3,10,0,-0.8992220288668237,-175.69,0.005118231139318251
2024-05-20,Bread,In-store Promo,Spring,Returning,78.22,8,343.77,2024,5,20,0,3.394911787266683,265.54999999999995,0.10227563283047814
2024-06-08,Bread,Google Maps,Summer,Returning,39.96,8,66.04,2024,6,8,5,0.6526526526526528,26.080000000000005,0.20020020020020018
2024-12-20,Cake,Instagram,Winter,Returning,161.67,9,288.68,2024,12,20,4,0.7856126677800459,127.01000000000002,0.0556689552792726
2025-01-03,Cake,Local Magazine,Spring,New,164.29,3,136.14,2025,1,3,4,-0.1713433562602715,-28.150000000000006,0.018260393207133727
2024-10-05,Cupcake,In-store Promo,Summer,Returning,123.23,5,116.95,2024,10,5,5,-0.050961616489491206,-6.280000000000001,0.04057453542156942
2024-07-24,Cookie,Local Magazine,Fall,New,168.2,10,178.7,2024,7,24,2,0.06242568370986921,10.5,0.05945303210463734
2024-08-08,Bread,Google Maps,Winter,Returning,158.03,9,302.3,2024,8,8,3,0.912927925077517,144.27,0.05695121179522875
2024-05-14,Cookie,Google Maps,Spring,Returning,56.94,5,26.41,2024,5,14,1,-0.5361784334387074,-30.529999999999998,0.0878117316473481
2024-06-23,Cake,In-store Promo,Summer,New,80.64,2,61.49,2024,6,23,6,-0.2374751984126984,-19.15,0.0248015873015873
2024-05-16,Bread,Google Maps,Spring,New,161.12,2,27.29,2024,5,16,3,-0.8306231380337638,-133.83,0.012413108242303872
2025-04-21,Cookie,Google Maps,Winter,New,132.51,2,38.75,2025,4,21,0,-0.7075692400573541,-93.75999999999999,0.01509320051316882
2025-04-12,Cupcake,Instagram,Winter,Returning,12.1,3,149.14,2025,4,12,5,11.325619834710743,137.04,0.24793388429752067
